lookup_type,age,lookup_value,term_rate
yos,23,19,0.02
yos,23,20,0.0175
yos,23,21,0.0139999999999999
yos,23,22,0.0139999999999999
yos,23,23,0.0115
yos,23,24,0.0115
yos,23,25,0.01
yos,23,26,0.01
yos,23,27,0.009
yos,23,28,0.0065
yos,23,29,0.005
yos,23,30,0.005
yos,23,31,0.005
yos,23,32,0.005
yos,23,33,0.005
yos,23,34,0.005
yos,23,35,0.005
yos,23,36,0.005
yos,23,37,0.005
yos,23,38,0.005
yos,23,39,0.005
yos,23,40,0.005
yos,23,41,0.005
yos,23,42,0.005
yos,23,43,0.005
yos,23,44,0.005
yos,23,45,0.005
yos,23,46,0.005
yos,23,47,0.005
yos,23,48,0.005
yos,23,49,0.005
yos,23,50,0.005
yos,23,51,0.005
yos,23,52,0.005
yos,23,53,0.005
yos,23,54,0.005
yos,23,55,0.005
yos,23,56,0.005
yos,23,57,0.005
yos,23,58,0.005
yos,23,59,0.005
yos,23,60,0.005
yos,23,61,0.005
yos,23,62,0.005
yos,23,63,0.005
yos,23,64,0.005
yos,23,65,0.005
yos,23,66,0.005
yos,23,67,0.005
yos,23,68,0.005
yos,23,69,0.005
yos,23,70,0.005
yos,24,0,0.275
yos,24,1,0.185
yos,24,2,0.1674999999999999
yos,24,3,0.16
yos,24,4,0.1575
yos,24,5,0.1175
yos,24,6,0.1124999999999999
yos,24,7,0.0775
yos,24,8,0.0574999999999999
yos,24,9,0.05
yos,24,10,0.0424999999999999
yos,24,11,0.0375
yos,24,12,0.0325
yos,24,13,0.0325
yos,24,14,0.0275
yos,24,15,0.0275
yos,24,16,0.025
yos,24,17,0.0225
yos,24,18,0.02
yos,24,19,0.02
yos,24,20,0.0175
yos,24,21,0.0139999999999999
