class_name,year_offset,payment
senior_management,28,64453553.782119118
senior_management,29,66548294.280037984
senior_management,30,68711113.844139218
senior_management,31,70944225.044073746
senior_management,32,73249912.358006135
senior_management,33,75630534.509641334
senior_management,34,78088526.88120468
senior_management,35,80626404.004843831
senior_management,36,83246762.135001257
senior_management,37,85952281.9043888
senior_management,38,88745731.066281438
senior_management,39,91629967.325935587
senior_management,40,94607941.26402849
senior_management,41,97682699.355109408
senior_management,42,100857387.08415046
senior_management,43,104135252.16438535
senior_management,44,107519647.85972787
senior_management,45,111014036.41516903
senior_management,46,114621992.59866202
senior_management,47,118347207.35811853
senior_management,48,122193491.59725739
senior_management,49,126164780.07416825
senior_management,50,130265135.42657872
