age,gender,member_type,table,qx
75,female,retiree,txtrs_av_av_first,0.017369955675103008
76,female,retiree,txtrs_av_av_first,0.019945717527788585
77,female,retiree,txtrs_av_av_first,0.022922187539183004
78,female,retiree,txtrs_av_av_first,0.02636483621087488
79,female,retiree,txtrs_av_av_first,0.030215578175004445
80,female,retiree,txtrs_av_av_first,0.03450487336013061
81,female,retiree,txtrs_av_av_first,0.03918989705252626
82,female,retiree,txtrs_av_av_first,0.044711693707405915
83,female,retiree,txtrs_av_av_first,0.051063979575060585
84,female,retiree,txtrs_av_av_first,0.05837086958114235
85,female,retiree,txtrs_av_av_first,0.06677380814018162
86,female,retiree,txtrs_av_av_first,0.07617968800488215
87,female,retiree,txtrs_av_av_first,0.08666346464664085
88,female,retiree,txtrs_av_av_first,0.09829615840673114
89,female,retiree,txtrs_av_av_first,0.1107736917911391
90,female,retiree,txtrs_av_av_first,0.12401561492969243
91,female,retiree,txtrs_av_av_first,0.1386555199576319
92,female,retiree,txtrs_av_av_first,0.15506217244759302
93,female,retiree,txtrs_av_av_first,0.1733376186056192
94,female,retiree,txtrs_av_av_first,0.1935563768812619
